"dist","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"1","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"2","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"3","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"4","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"5","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"6","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"7","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"8","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00"
"9","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00","0.00"
"10","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00","0.00"
"11","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00","0.00"
"12","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00","0.00"
"13","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00","0.00"
"14","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0","0.00"
"15","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0"
